epoch,train_loss,val_mIoU,val_mDice,epoch_time_s
1,0.3226338813378327,0.4926143952389818,0.5827839576900377,701.1828651428223
2,0.2738399717794812,0.49546286095205627,0.5780309319110948,666.0599858760834
3,0.26274346295690193,0.5088814935001792,0.5988916140161914,648.6777048110962
4,0.25651851515083207,0.5118618222024047,0.5967016263341858,631.7070009708405
5,0.25079803141778795,0.5362803565664163,0.6332814135949806,634.9673819541931
