img_idx,IoU_bg,IoU_pet,mIoU,Dice_bg,Dice_pet,mDice
0,0.12749165233099774,0.8658441720068675,0.4966679121689326,0.226150946780704,0.928099125315038,0.577125036047871
1,0.5039889687727372,0.9166487363231489,0.7103188525479431,0.670203012438309,0.9565119773398072,0.8133574948890581
2,0.2862072270652141,0.8809432454022686,0.5835752362337414,0.44504061405138207,0.9367036964625325,0.6908721552569572
3,0.17122391349148547,0.8091514670883281,0.4901876902899068,0.29238459276511386,0.8945093673008894,0.5934469800330016
4,0.2341859396520586,0.8399436601670349,0.5370647999095468,0.379498634894642,0.9130101952043277,0.6462544150494849
5,0.3988406881039749,0.8950546760226945,0.6469476820633346,0.570244619699437,0.9446214796305704,0.7574330496650037
6,0.24390592608303732,0.8297437383284564,0.5368248322057468,0.39216137003395113,0.9069507614071249,0.649556065720538
7,0.32110463232652164,0.8638482402415685,0.5924764362840451,0.4861153681083423,0.9269512630809549,0.7065333155946486
8,0.31250801795622185,0.9150713153709745,0.6137896666635982,0.47619978496260185,0.955652468946007,0.7159261269543045
9,0.13195307108168458,0.9026169092584351,0.5172849901700598,0.23314229971670353,0.9488162381677134,0.5909792689422084
10,0.06264025132998242,0.7735404823482805,0.4180903668391315,0.11789549897358576,0.8723121801246552,0.49510383954912046
11,0.19642370386416386,0.7620008719087369,0.47921228788645037,0.32835140799996193,0.8649267818843677,0.5966390949421648
12,0.24647232783906656,0.8575831616588294,0.552027744748948,0.39547180043115865,0.9233321870693575,0.6594019937502581
13,0.09243567221198493,0.7244576215339946,0.40844664687298976,0.16922858629253545,0.8402150478937858,0.5047218170931607
14,0.060936497753993964,0.9101233961555188,0.48552994695475643,0.11487303506476915,0.952947226328218,0.5339101306964936
15,0.13416666666480323,0.9034536162290484,0.5188101414469258,0.23659074209849876,0.949278310252592,0.5929345261755454
16,0.4067739012187723,0.9154572604715224,0.6611155808451474,0.5783074321557428,0.9558628943212933,0.767085163238518
17,0.19617615077749023,0.8600148332820059,0.528095492029748,0.328005454129778,0.9247397578701082,0.626372605999943
18,0.13404099560663219,0.8143159877547849,0.4741784916807085,0.23639532631698149,0.8976561891652628,0.5670257577411222
19,0.36785748128145684,0.8917993966313754,0.6298284389564162,0.5378593695840813,0.9428054562437795,0.7403324129139304
20,0.21927564782210524,0.9196117898532984,0.5694437188377018,0.3596818294760169,0.9581226732552809,0.6589022513656488
21,0.11624465636208282,0.8323508312266736,0.4742977437943782,0.2082780969199567,0.9085059662613337,0.5583920315906452
22,0.23564954682404757,0.9249539451073704,0.5803017459657089,0.38141809290462725,0.9610141036966764,0.6712160983006519
23,0.09662475181892097,0.8733374574684916,0.48498110464370625,0.17622208810927154,0.9323866919830492,0.5543043900461604
24,0.02003019627559104,0.8509879547563387,0.43550907551596485,0.03927373199092881,0.9194959400677045,0.47938483602931664
25,0.3471221565583492,0.8683222309285719,0.6077221937434605,0.5153536446096066,0.9295208466229172,0.722437245616262
26,0.12803296200115952,0.8210404334604575,0.47453669773080853,0.22700216450062904,0.9017267473850253,0.5643644559428271
27,0.06849315068348803,0.9322200242276115,0.5003565874555498,0.1282051282025995,0.9649211917263496,0.5465631599644746
28,0.20643401159251523,0.8904425612038757,0.5484382863981955,0.34222180344537617,0.9420466714808009,0.6421342374630885
29,0.20449848024067477,0.897531869576068,0.5510151749083714,0.33955788835833695,0.9459992572104601,0.6427785727843985
30,0.18256868317522576,0.9058999485863088,0.5442343158807673,0.3087663080761185,0.9506269720593207,0.6296966400677195
31,0.2487757100832757,0.9403261444606162,0.594550927271946,0.3984313725427697,0.9692454509723817,0.6838384117575758
32,0.1396452660492993,0.8382060476975239,0.4889256568734116,0.2450679526505548,0.9119826895874192,0.578525321118987
33,0.19790145985220892,0.8612684835942032,0.5295849717232061,0.33041358823725786,0.9254639953189885,0.6279387917781232
34,0.10762596727445432,0.762893555575285,0.43525976142486966,0.19433630206285352,0.8655015535822638,0.5299189278225587
35,0.25663926651709895,0.8490102586317825,0.5528247625744407,0.4084533618440879,0.9183402359920134,0.6633967989180507
36,0.10738436570046817,0.8980569027819684,0.5027206342412183,0.19394235466299534,0.946290810845231,0.5701165827541131
37,0.22470475582269703,0.8851065842569293,0.5549056700398132,0.36695334896736204,0.9390520320163439,0.653002690491853
38,0.13063737726525815,0.9193217093158108,0.5249795432905344,0.23108625257240087,0.9579652070350682,0.5945257298037345
39,0.014883801897337593,0.8268492312386952,0.42086651656801644,0.029331046311926835,0.905218905971841,0.4672749761418839
40,0.3851544763558863,0.8989356523981911,0.6420450643770387,0.5561177225072605,0.9467784242851128,0.7514480733961867
41,0.2547746000944762,0.8778056844902432,0.5662901422923597,0.40608823301857305,0.9349270712518222,0.6705076521351976
42,0.17238737358127193,0.8293145403393652,0.5008509569603186,0.2940792053307144,0.9066943076782356,0.6003867565044749
43,0.03746478873204258,0.8426240078590622,0.4400443982955524,0.07222373065370419,0.914591369986657,0.4934075503201806
44,0.1597793163115558,0.8787524001297573,0.5192658582206565,0.2755339986915816,0.9354637684764269,0.6054988835840043
45,0.16077755434108226,0.862755845090025,0.5117666997155537,0.2770169938931115,0.9263219840261233,0.6016694889596175
46,0.19059116753492802,0.8352803182792004,0.5129357429070642,0.32016223995603715,0.910248216536619,0.6152052282463281
47,0.29942497261364426,0.9192252442802267,0.6093251084469354,0.4608576546153107,0.9579128317739137,0.7093852431946122
48,0.04089257913813292,0.8581406772882961,0.44951662821321453,0.0785721407909206,0.9236552299588381,0.5011136853748793
49,0.11097504974573741,0.910385582692891,0.5106803162193142,0.19977955359327942,0.9530909267118798,0.5764352401525796
50,0.15415486307655624,0.8884321967913927,0.5212935299339745,0.2671302924906204,0.9409204082634418,0.6040253503770311
51,0.09860751295177125,0.9142575507863997,0.5064325318690854,0.17951363301135573,0.9552085093364912,0.5673610711739234
52,0.22133938705701847,0.9142178316854536,0.567778609371236,0.3624535315943023,0.9551868304146891,0.6588201810044957
53,0.13611504962252147,0.9342470399590925,0.535181044790807,0.23961490461330692,0.9660059140934252,0.602810409353366
54,0.0824036511149222,0.8318334598274006,0.4571185554711614,0.15226048254741734,0.9081976916239731,0.5302290870856953
55,0.17176837590006075,0.8667795653387481,0.5192739706194044,0.2931780366032181,0.9286362261860963,0.6109071313946572
56,0.15927069264750848,0.863583000703039,0.5114268466752737,0.2747773986829094,0.9267985384898351,0.6007879685863722
