img_idx,IoU_bg,IoU_pet,mIoU,Dice_bg,Dice_pet,mDice
0,0.15653457420154976,0.4312488402293709,0.2938917072154603,0.2706958835357228,0.60261895501031,0.43665741927301643
1,0.1469671541592335,0.5305449267704668,0.3387560404648502,0.25627090300936384,0.6932758620682185,0.47477338253879114
2,0.1693642908964409,0.49947029444818225,0.3344172926723116,0.2896689974457923,0.6661956509541812,0.47793232419998677
3,0.10460109342468285,0.3953146441867684,0.24995786880572562,0.18939161666114188,0.5666315419733443,0.3780115793172431
4,0.10609542684832887,0.2992694697866269,0.2026824483174779,0.19183774613485857,0.46067344264738946,0.326255594391124
5,0.08862403384912627,0.29026996166660096,0.1894469977578636,0.16281844069852455,0.44993678887427313,0.30637761478639886
6,0.1398084008838915,0.5199776290024839,0.3298930149431877,0.24531912692602328,0.6841911605550797,0.4647551437405515
7,0.13832977602426624,0.47211003707548976,0.305219906549878,0.24303989746696641,0.641405907418971,0.4422229024429687
8,0.029586973788603706,0.6228642867055256,0.3262256302470647,0.057473481195535296,0.7676110588026595,0.4125422699990974
9,0.08300453556516463,0.6070474836049505,0.3450260095850576,0.15328566564469429,0.7554817014407234,0.4543836835427088
10,0.20984237439978426,0.4793399913148427,0.3445911828573135,0.3468920891515133,0.6480457421945358,0.49746891567302454
11,0.12299173102201834,0.41703118036344017,0.2700114556927293,0.21904298602463504,0.5885984530791765,0.40382071955190574
12,0.09733074496457818,0.3953839902472241,0.24635736760590113,0.17739545786210523,0.5667027757387023,0.37204911680040376
13,0.09674540246565498,0.28514168377776566,0.19094354312171033,0.17642271806775975,0.4437513581219642,0.310087038094862
14,0.04497807085742954,0.5209393041027914,0.2829586874801105,0.08608423872574465,0.6850231336615971,0.38555368619367086
15,0.03358161848240884,0.5250651445580639,0.27932338152023634,0.06498106754591125,0.6885806110403476,0.37678083929312944
16,0.05008437973727844,0.4793446735118298,0.26471452662455414,0.09539115275633202,0.648050021194735,0.3717205869755335
17,0.13794598199353802,0.5789345103331016,0.3584402461633198,0.2424473290935551,0.733323018205443,0.487885173649499
18,0.15414571625713758,0.4211059006099303,0.2876258084335339,0.2671165591759554,0.5926453481463896,0.4298809536611725
19,0.11353748326616143,0.2949357822581105,0.20423663276213597,0.20392215793785423,0.4555218664879291,0.32972201221289166
20,0.03699584816119145,0.5974774551417809,0.3172366516514862,0.07135196968588206,0.7480261498760907,0.4096890597809864
21,0.08938687801722048,0.4765212648188335,0.282954071418027,0.16410492878326646,0.6454648181139495,0.404784873448608
22,0.050066468964004365,0.2637744103470331,0.15692043965551872,0.09535866622500563,0.41743907486558535,0.2563988705452955
23,0.1253829418810754,0.6858814899848739,0.4056322159329746,0.22282715903174802,0.8136769921959672,0.5182520756138577
24,0.12688201478202332,0.4762811776481892,0.3015815962151063,0.2251913032910842,0.6452445304585347,0.43521791687480943
